,2014_Positive,2014_Negative,2014_Unkown,2015_Positive,2015_Negative,2015_Unkown,2016_Positive,2016_Negative,2016_Unkown,2017_Positive,2017_Negative,2017_Unkown,2018_Positive,2018_Negative,2018_Unkown,2019_Positive,2019_Negative,2019_Unkown,2020_Positive,2020_Negative,2020_Unkown,2021_Opportunity,2021_Problem,2021_Equally,2021_Neither,2021_Unkown,2022_Worried,2022_Not_Worried,2022_Unkown,2023_Positive,2023_Negative,2023_Unknown,Assylum_Apps_2014,Assylum_Apps_2015,Assylum_Apps_2016,Assylum_Apps_2017,Assylum_Apps_2018,Assylum_Apps_2019,Assylum_Apps_2020,Assylum_Apps_2021,Assylum_Apps_2022,Assylum_Apps_2023
MALTA,21,73,6,21,73,6,23,69,8,21,71,8,28,65,7,21,71,8,17,79,4,12,51,32,4,1,92,7,1,22,76,2,1275,1695,1735,1610,2035,4015,2410,1200,915,490
NETHERLANDS,46,50,4,42,54,4,44,53,3,45,51,4,43,52,5,47,48,5,53,44,3,21,33,42,4,0,58,41,1,49,48,3,21780,43035,19285,16090,20465,22485,13660,24730,35500,38320
AUSTRIA,35,56,9,31,64,5,36,56,8,38,56,6,42,51,7,46,47,7,39,53,8,18,35,39,7,1,74,25,1,35,56,9,25675,85505,39875,22455,11580,10985,13400,37800,109775,55605
POLAND,39,44,17,26,62,12,28,64,8,24,68,8,27,64,9,41,52,7,42,48,10,26,30,34,9,1,77,22,1,45,47,8,5610,10255,9780,3005,2405,2765,1510,6240,7700,7720
PORTUGAL,47,44,9,42,50,8,48,44,8,50,40,10,47,44,9,58,34,8,55,29,16,24,22,47,4,3,81,15,4,53,41,6,440,870,710,1015,1240,1735,900,1350,1975,2600
ROMANIA,47,38,15,34,54,12,35,59,6,34,57,9,40,50,10,52,40,8,52,40,8,21,22,34,18,5,56,42,2,53,39,8,1500,1225,1855,4700,1945,2455,6025,9065,12065,9875
SLOVENIA,33,61,6,21,76,3,28,68,4,31,66,3,22,75,3,32,65,3,34,63,3,17,40,33,10,0,62,37,1,29,70,1,355,260,1265,1435,2800,3615,3465,5220,6645,7185
SLOVAKIA,20,74,6,11,86,3,17,79,4,18,77,5,13,81,6,16,76,8,19,76,5,9,41,44,4,2,73,26,1,20,75,5,230,270,100,150,155,215,265,330,500,370
FINLAND,44,51,5,31,64,5,38,59,3,38,57,5,40,57,3,45,50,5,40,60,0,23,28,45,3,1,52,46,2,46,46,8,3490,32150,5275,4330,2950,2445,1445,1355,4815,4450
SWEDEN,72,25,3,70,27,3,64,34,2,65,32,3,67,29,4,65,31,4,66,33,1,31,31,34,3,1,45,53,2,67,30,3,74980,156115,22335,22190,18075,23125,13595,9015,13180,8945
GREAT BRITAIN,38,57,5,39,55,6,49,43,8,53,42,5,62,29,9,62,27,11,,,,,,,,,,,,,,,32120,39720,39240,34355,38400,44250,,,,
EU,35,57,8,34,59,7,37,56,7,39,54,7,40,53,7,48,44,8,44,48,8,22,31,38,8,1,70,29,1,43,50,7,530560,1216860,1166815,620265,564115,631285,417070,535985,873680,1049020
